number,group,age,gender,education,familyincome,offender,SAVRY1,SAVRY2,SAVRY3,SAVRY4,SAVRY5,SAVRY6,SAVRY7,SAVRY8,SAVRY9,SAVRY10,H,SAVRY11,SAVRY12,SAVRY13,SAVRY14,SAVRY15,SAVRY16,S,SAVRY17,SAVRY18,SAVRY19,SAVRY20,SAVRY21,SAVRY22,SAVRY23,SAVRY24,I,P1,P2,P3,P4,P5,P6,P,Reoffending
03010048,1,18,1,9,3,4,3,1,1,2,3,3,3,3,2,2,5,3,2,2,2,2,2,1,2,2,2,2,2,2,2,3,1,1,2,2,2,1,1,3,1
04010045,1,16,1,8,3,4,3,3,2,3,1,1,1,2,1,1,3,3,1,1,3,3,3,4,2,2,1,2,1,1,1,1,0,1,2,2,1,1,1,2,1
02010012,1,16,1,2,3,5,3,3,3,2,1,3,2,1,2,2,4,3,1,1,3,2,2,2,2,2,2,2,2,1,2,3,1,1,2,2,2,2,2,5,1
04010025,1,14,1,9,3,4,3,3,3,3,1,2,1,1,2,2,4,3,1,1,2,2,2,1,2,3,1,2,1,1,2,3,2,1,1,1,1,2,1,1,1
05010015,1,16,1,9,4,4,3,2,3,1,1,2,1,2,1,1,2,2,1,1,2,2,2,0,2,2,1,1,2,2,1,2,,1,1,1,1,2,1,1,0
04010035,1,18,1,9,4,4,3,3,3,3,1,2,2,1,2,1,4,3,2,1,2,3,3,3,3,2,2,3,1,1,2,1,,1,2,2,1,1,1,2,0
03010057,1,18,1,10,4,4,1,1,1,2,1,2,2,1,2,1,0,1,1,1,1,2,1,0,1,2,1,1,2,2,2,1,,1,2,1,1,2,2,3,0
03010082,1,17,1,11,4,1,1,2,2,1,1,1,1,1,1,2,0,2,2,2,1,2,2,0,1,2,1,2,1,1,1,2,,1,1,1,1,2,1,1,0
03010025,1,17,1,7,4,4,2,1,2,1,1,2,2,1,1,1,0,2,2,2,3,3,1,2,2,2,2,2,2,2,1,1,0,1,2,1,2,2,2,4,0
03010069,1,17,1,9,4,3,2,2,1,1,2,1,1,1,1,2,0,1,1,1,1,1,1,0,2,2,2,1,2,1,1,1,0,2,1,2,2,2,2,5,0
05010018,1,16,1,4,4,4,3,2,2,1,1,3,3,1,3,2,4,2,2,2,2,2,2,0,2,3,3,2,2,2,1,2,1,1,1,1,2,2,1,2,0
03010062,1,17,1,8,5,4,1,1,2,1,1,2,2,1,2,1,0,2,2,1,3,1,1,1,1,1,2,1,2,2,2,3,,2,2,2,2,2,1,5,0
03010028,1,17,1,11,5,4,3,3,2,1,1,3,2,1,3,2,4,2,1,3,3,2,1,1,2,2,2,2,3,3,2,1,,1,1,1,1,1,1,0,0
04010011,1,15,1,7,5,4,3,2,2,1,1,1,3,1,2,1,2,2,1,2,3,3,2,2,2,2,1,1,1,1,2,3,1,1,2,2,2,1,1,3,0
02010005,1,16,1,8,3,2,3,1,3,3,2,2,1,1,2,2,3,3,2,2,3,3,3,4,2,3,1,2,2,3,3,3,4,1,1,2,2,2,2,4,0
04010027,1,17,1,9,0,4,3,3,3,2,1,2,1,1,1,3,4,3,2,1,3,2,2,2,3,2,2,2,3,3,3,3,5,1,1,2,2,2,2,4,1
03010002,1,18,1,6,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,3,1,1,1,2,1,1,1,2,1,1,,2,2,1,1,2,1,3,0
02010082,1,17,1,8,1,3,3,1,2,2,3,2,2,1,1,3,2,3,1,2,2,1,3,2,1,3,1,2,2,2,2,3,,2,2,1,2,1,1,3,0
04010009,1,17,1,7,1,4,2,2,2,1,1,1,1,1,1,2,0,1,1,1,1,3,2,1,3,2,1,1,1,1,3,1,,1,2,2,2,2,1,4,0
03010009,1,17,1,8,1,2,2,2,2,2,2,2,2,2,1,1,0,2,2,2,1,2,1,0,2,3,3,3,3,2,2,1,,1,2,2,2,2,1,4,0
04010003,1,17,1,5,1,4,3,1,2,3,1,2,2,1,2,2,2,3,1,2,1,2,3,2,3,1,2,1,1,1,2,3,,1,1,1,1,2,1,1,0
04010044,1,17,1,7,1,4,3,3,3,3,1,3,2,1,1,2,5,1,1,3,2,2,3,2,2,2,2,2,1,1,2,3,1,1,2,2,2,2,2,5,0
04010012,1,16,1,8,1,4,3,3,3,1,1,1,1,1,1,2,3,3,1,1,3,3,3,4,3,3,1,1,2,1,1,3,3,1,2,1,1,2,1,2,0
04010040,1,16,1,8,1,5,3,3,1,1,1,2,1,1,1,1,2,3,1,1,1,2,2,1,2,1,2,2,2,1,2,3,1,1,2,2,2,2,2,5,0
04010052,1,15,1,7,1,4,2,2,1,1,2,1,1,2,1,2,0,2,2,1,2,2,2,0,2,2,1,1,2,1,2,1,0,2,2,2,1,2,2,5,0
04010050,1,15,1,5,1,4,3,3,3,3,1,2,2,1,1,1,4,3,1,1,2,2,2,1,2,2,1,2,1,1,2,3,1,1,2,2,2,2,2,4,0
02010086,1,17,1,9,1,5,3,1,1,2,1,3,3,1,3,2,4,3,3,2,3,3,3,4,3,1,1,3,2,2,3,3,4,2,2,1,2,2,2,5,1
02010017,1,16,1,8,1,2,3,3,2,2,3,3,2,1,3,1,5,3,2,1,3,2,2,2,3,3,1,2,2,3,3,3,5,2,2,2,2,2,2,6,1
03010036,1,16,1,8,1,1,2,2,1,1,2,1,2,2,1,1,0,2,1,1,2,1,1,0,1,1,1,2,2,2,2,2,0,1,2,1,1,2,2,3,1
04010060,1,15,1,6,1,4,3,1,3,1,1,1,1,1,2,2,2,3,2,1,3,2,3,3,2,2,1,1,1,2,1,3,1,1,2,1,1,2,1,2,1
04010065,1,15,1,3,1,4,3,3,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,0,2,2,1,1,1,1,2,3,1,1,2,2,1,2,1,3,1
02010075,1,18,1,9,2,2,3,1,2,2,1,2,2,1,3,1,2,3,2,1,3,3,2,3,1,1,2,2,1,2,3,2,,2,2,2,2,1,1,4,0
02010047,1,18,1,7,2,3,3,1,3,2,1,2,2,1,1,2,2,3,2,1,3,3,3,4,2,1,2,3,2,1,1,2,,2,1,2,2,2,1,4,0
02010034,1,18,1,8,2,3,3,2,3,2,1,3,2,1,3,1,4,3,2,1,3,2,2,2,2,3,1,1,2,2,2,3,,1,1,1,2,1,1,1,0
04010057,1,18,1,8,2,4,1,1,1,1,1,1,1,1,1,2,0,2,1,1,2,1,2,0,2,2,1,1,1,1,1,1,,1,1,1,1,2,1,1,0
05010019,1,18,1,6,2,4,2,1,2,1,1,1,1,2,1,1,0,2,1,2,2,1,1,0,1,2,1,1,2,2,1,2,,1,1,2,1,2,1,2,0
02010063,1,18,1,9,2,2,3,2,3,2,1,2,2,1,2,3,3,3,1,2,2,2,3,2,3,2,2,2,2,1,3,2,,1,1,1,1,1,1,0,0
03010080,1,18,1,9,2,4,2,1,1,1,1,1,1,1,1,2,0,1,1,2,1,1,1,0,2,2,2,1,1,1,3,3,,1,1,2,1,2,1,2,0
02010060,1,18,1,7,2,5,2,1,2,2,1,1,1,1,3,2,1,2,1,1,1,1,2,0,2,1,2,3,2,1,3,3,,2,1,1,1,1,2,2,0
03010037,1,18,1,7,2,4,3,1,1,2,2,2,1,2,1,2,1,3,1,1,2,2,2,1,1,1,2,2,3,2,1,2,,1,1,1,1,2,2,2,0
03010076,1,18,1,6,2,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,,1,1,1,1,2,2,2,0
02010092,1,17,1,8,2,3,3,1,1,3,1,2,2,2,1,2,2,3,3,3,3,2,2,3,3,3,1,1,2,2,3,3,,2,2,1,1,2,1,3,0
02010083,1,17,1,8,2,2,2,1,2,1,1,2,2,1,1,2,0,2,1,1,3,2,1,1,2,2,1,1,2,1,1,3,,2,2,1,1,1,1,2,0
03010049,1,17,1,8,2,4,1,2,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,0,1,1,1,1,1,2,1,1,,1,2,1,2,1,1,2,0
02010049,1,17,1,7,2,2,3,2,2,3,1,2,2,1,1,3,2,3,2,1,2,2,2,1,2,1,1,2,3,1,1,3,,1,2,1,1,1,1,1,0
02010039,1,17,1,6,2,5,3,3,2,2,1,1,2,1,2,2,2,3,1,2,2,1,1,1,2,3,2,1,2,2,1,3,,1,2,2,2,2,1,4,0
04010008,1,17,1,6,2,4,2,1,2,2,1,1,1,1,1,1,0,2,1,2,1,1,2,0,1,1,1,1,2,2,1,2,,1,2,1,1,2,1,2,0
03010075,1,17,1,6,2,4,2,1,1,1,1,1,1,1,1,2,0,2,1,2,1,2,1,0,1,2,1,2,1,3,2,3,,1,2,2,1,2,1,3,0
02010068,1,17,1,8,2,2,3,2,2,3,1,2,2,1,2,3,3,3,2,1,2,2,1,1,2,2,1,2,2,2,3,3,,2,1,1,1,2,1,2,0
02010062,1,17,1,5,2,5,3,2,2,2,1,1,2,1,3,3,3,3,1,2,2,2,3,2,1,2,1,2,2,2,2,3,,2,1,1,1,1,1,1,0
02010044,1,17,1,7,2,3,3,3,3,1,1,1,2,3,1,2,4,3,2,2,2,2,1,1,1,1,2,2,2,2,1,2,,2,1,1,1,1,1,1,0
02010069,1,17,1,7,2,3,3,2,2,3,1,2,1,1,3,2,3,3,1,2,3,3,1,3,3,2,1,2,3,1,3,3,,1,1,1,2,2,1,2,0
02010067,1,17,1,8,2,2,3,2,3,3,2,2,3,1,1,1,4,3,1,1,3,3,1,3,2,2,1,1,2,2,3,3,,1,1,1,1,2,1,1,0
02010040,1,17,1,4,2,5,3,3,3,3,2,2,2,1,1,2,4,3,1,1,3,3,1,3,2,2,2,1,3,2,3,3,,1,1,1,1,2,1,1,0
02010052,1,17,1,8,2,5,3,3,2,3,1,2,3,1,3,2,5,3,2,1,3,2,2,2,3,2,2,2,3,2,1,3,,1,1,2,1,2,1,2,0
02010065,1,17,1,9,2,2,2,1,2,1,1,2,2,1,1,2,0,3,1,2,2,1,1,1,2,3,1,2,1,1,2,3,,1,1,1,1,1,1,0,0
02010053,1,17,1,11,2,2,3,2,3,2,2,2,2,1,2,1,2,3,1,1,2,2,1,1,2,2,2,1,3,2,3,3,,1,1,1,2,2,1,2,0
02010045,1,17,1,7,2,3,3,3,2,1,1,1,2,1,1,3,3,3,1,2,2,1,3,2,2,1,1,2,3,1,2,3,,1,1,2,1,2,1,2,0
02010029,1,17,1,7,2,5,3,3,3,3,1,2,2,2,1,2,4,3,1,2,2,2,2,1,2,3,2,2,2,2,3,2,,1,1,1,2,2,1,2,0
02010085,1,17,1,10,2,1,2,1,1,1,1,2,2,1,3,3,2,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0
02010051,1,17,1,7,2,5,3,2,3,2,1,2,2,1,2,2,1,3,2,1,1,2,1,1,2,2,2,2,3,2,1,3,,1,1,1,1,1,1,0,0
